load_scenario,load_scenario_idx,horizon_step,load,p_mw,q_mvar
0,22338,0,0,-3.741942364854367e-07,-0.0
0,22338,0,1,18.473321536379714,10.811575277051723
0,22338,0,2,62.05581523607763,12.516565705790603
0,22338,0,3,36.5580781620676,-2.9827720676163945
0,22338,0,4,4.591057890508189,0.966538503264882
0,22338,0,5,9.947059416658275,6.66097728794081
0,22338,0,6,-3.741942364854367e-07,-0.0
0,22338,0,7,-3.741942364854367e-07,-0.0
0,22338,0,8,22.162471149796435,12.471085460563417
0,22338,0,9,6.89032187523757,4.440429652930877
0,22338,0,10,2.475381247082227,1.2730532127851455
0,22338,0,11,4.367195838996114,1.145493990556358
0,22338,0,12,12.273217882206787,5.272938053096249
0,22338,0,13,10.765670524900937,3.61264111573857
1,22339,0,0,-3.741942364854367e-07,-0.0
1,22339,0,1,18.444057081417974,10.794448153640934
1,22339,0,2,62.19046607407338,12.543724579696327
1,22339,0,3,37.704700603243055,-3.0763249446160654
1,22339,0,4,4.847277312933483,1.020479434301786
1,22339,0,5,10.14303373460684,6.79221009013851
1,22339,0,6,-3.741942364854367e-07,-0.0
1,22339,0,7,-3.741942364854367e-07,-0.0
1,22339,0,8,22.259448887333548,12.525655984058877
1,22339,0,9,7.14271244018099,4.60308135033886
1,22339,0,10,2.4788276074196878,1.2748256266729825
1,22339,0,11,4.342508026209314,1.139018498677853
1,22339,0,12,12.313194107706234,5.290113024051568
1,22339,0,13,10.728756682199204,3.6002539202010753
2,22340,0,0,-3.741942364854367e-07,-0.0
2,22340,0,1,18.214686848967066,10.660208432344781
2,22340,0,2,61.5787489573367,12.42034214638426
2,22340,0,3,38.42346214578778,-3.1349686687985847
2,22340,0,4,5.054352051457275,1.0640741160962683
2,22340,0,5,10.118728418964452,6.775934209127982
2,22340,0,6,-3.741942364854367e-07,-0.0
2,22340,0,7,-3.741942364854367e-07,-0.0
2,22340,0,8,22.1877873904025,12.485331209514628
2,22340,0,9,7.310107402370958,4.710958103750173
2,22340,0,10,2.469638793581792,1.2700999509849218
2,22340,0,11,4.281403228404741,1.1229910107291126
2,22340,0,12,12.303671649769948,5.286021893975237
2,22340,0,13,10.65710240219541,3.5762088597971173
3,22341,0,0,-3.741942364854367e-07,-0.0
3,22341,0,1,17.92432951014063,10.49027579625742
