Edge ID,From,To,Flow %,MSE (Norm),Std (Norm),MSE (Real),Std (Real),Avg (Real),R² Score
0,0,1,27.24,0.0425,0.0685,18.06,29.11,159.83,0.8891
1,0,4,11.71,0.0383,0.0621,3.17,5.14,68.70,0.8946
2,1,2,10.29,0.0544,0.0897,3.77,6.22,60.34,0.8431
6,3,4,9.19,0.7523,1.2594,32.85,54.99,-53.91,-1.0477
3,1,3,7.64,0.0400,0.1381,1.47,5.05,44.84,0.8796
9,4,5,6.33,0.0301,0.0531,0.78,1.38,37.16,0.9139
4,1,4,5.46,0.1311,0.6285,2.59,12.41,32.02,0.5909
7,3,6,3.99,0.0615,0.1265,0.52,1.08,23.39,0.8239
14,6,8,3.99,0.0440,0.0729,0.37,0.62,23.39,0.8740
5,2,3,3.46,0.1946,0.2358,1.42,1.73,-20.33,0.5729
12,5,12,2.55,0.0424,0.0623,0.18,0.26,14.93,0.8793
8,3,8,2.30,0.8233,1.0944,2.22,2.95,13.48,-1.3292
16,8,13,1.33,0.0946,0.1327,0.08,0.12,7.82,0.7460
11,5,11,1.12,0.0388,0.0586,0.03,0.05,6.54,0.8890
10,5,10,1.07,0.0569,0.0780,0.05,0.07,6.27,0.8464
19,12,13,0.82,0.0889,0.1209,0.05,0.07,4.80,0.7697
15,8,9,0.73,0.2293,0.3058,0.06,0.07,4.28,0.4952
17,9,10,0.56,0.1432,0.2068,0.05,0.07,-3.28,0.6460
18,11,12,0.23,0.1764,0.2388,0.01,0.01,1.37,0.5981
13,6,7,0.00,0.0005,0.0017,0.00,0.00,0.00,0.0000
