Edge ID,From,To,Flow %,MSE (Norm),Std (Norm),MSE (Real),Std (Real),Avg (Real)
0,0,1,27.16,0.0444,0.0900,14.88,30.16,105.27
1,0,4,11.62,0.0634,0.1335,4.04,8.50,45.02
2,1,2,11.33,0.0732,0.2259,1.92,5.93,43.89
6,3,4,9.58,0.9931,1.9630,32.87,64.96,-37.13
3,1,3,7.67,0.3497,1.8957,9.30,50.39,29.74
9,4,5,5.76,0.0663,0.1653,1.85,4.61,22.31
4,1,4,5.41,0.2995,0.8314,4.25,11.80,20.98
5,2,3,4.65,0.2717,0.7890,1.12,3.26,-18.02
7,3,6,3.46,0.0209,0.0398,0.31,0.58,13.42
14,6,8,3.46,0.0285,0.0851,0.42,1.24,13.42
12,5,12,2.32,0.2752,1.8604,1.25,8.46,9.00
8,3,8,2.01,0.1031,0.4081,0.49,1.94,7.80
16,8,13,1.40,0.0484,0.0994,0.04,0.09,5.44
11,5,11,0.92,0.1328,0.5573,0.16,0.66,3.55
10,5,10,0.88,0.1418,0.9486,0.19,1.26,3.40
15,8,9,0.84,0.2105,0.4832,0.07,0.17,3.25
19,12,13,0.75,0.1362,0.4847,0.08,0.29,2.90
17,9,10,0.46,0.4303,0.9955,0.16,0.37,-1.77
18,11,12,0.31,0.2780,0.5783,0.02,0.05,1.21
13,6,7,0.00,0.0005,0.0028,0.00,0.00,0.00
